codigo_postal,localidad,partido,provincia
7114,LA COSTA (CASTELLI-PDO. CASTELLI),Castelli,Buenos Aires
7114,LA INDIA,Castelli,Buenos Aires
7114,PARQUE TAILLADE,Castelli,Buenos Aires
7114,SAN JOSE DE GALI,Castelli,Buenos Aires
7114,TAILLADE,Castelli,Buenos Aires
2720,COLON,Colon,Buenos Aires
2721,EL ARBOLITO,Colon,Buenos Aires
2720,EL PELADO,Colon,Buenos Aires
2723,ESTANCIA LAS GAMAS,Colon,Buenos Aires
2720,HARAS EL PELADO,Colon,Buenos Aires
2721,SARASA,Colon,Buenos Aires
